drugbank_id	group	drugbank-id	id	name	organism	known_action	position	resource	uniprot_ids
DB00060	approved	DB00060	BE0000661	Interferon alpha/beta receptor 1	Humans	yes	1	UniProtKB	P17181
DB00063	approved	DB00063	BE0001155	Integrin beta-3	Humans	yes	NA	UniProtKB	P05106
DB00065	approved	DB00065	BE0000704	Tumor necrosis factor	Humans	yes	NA	UniProtKB	P01375
DB00066	approved	DB00066	BE0000387	Follicle-stimulating hormone receptor	Humans	yes	NA	UniProtKB	P23945
DB00067	approved	DB00067	BE0000165	Vasopressin V1a receptor	Humans	yes	2	UniProtKB	P37288
DB00067	approved	DB00067	BE0000773	Vasopressin V1b receptor	Humans	yes	3	UniProtKB	P47901
DB00067	approved	DB00067	BE0000293	Vasopressin V2 receptor	Humans	yes	1	UniProtKB	P30518
DB00068	approved	DB00068	BE0000385	Interferon alpha/beta receptor 2	Humans	yes	NA	UniProtKB	P48551
DB00068	approved	DB00068	BE0000661	Interferon alpha/beta receptor 1	Humans	yes	NA	UniProtKB	P17181
DB00069	approved	DB00069	BE0000385	Interferon alpha/beta receptor 2	Humans	yes	NA	UniProtKB	P48551
DB00069	approved	DB00069	BE0000661	Interferon alpha/beta receptor 1	Humans	yes	NA	UniProtKB	P17181
DB00071	approved	DB00071	BE0000033	Insulin receptor	Humans	yes	1	UniProtKB	P06213
DB00072	approved	DB00072	BE0000511	Receptor tyrosine-protein kinase erbB-2	Humans	yes	1	UniProtKB	P04626
DB00073	approved	DB00073	BE0000066	B-lymphocyte antigen CD20	Humans	yes	NA	UniProtKB	P11836
DB00074	approved	DB00074	BE0000658	Interleukin-2 receptor subunit alpha	Humans	yes	1	UniProtKB	P01589
DB00075	approved	DB00075	BE0003456	T-cell surface glycoprotein CD3 delta chain	Humans	yes	1	UniProtKB	P04234
DB00075	approved	DB00075	BE0003458	T-cell surface glycoprotein CD3 zeta chain	Humans	yes	4	UniProtKB	P20963
DB00075	approved	DB00075	BE0003457	T-cell surface glycoprotein CD3 gamma chain	Humans	yes	3	UniProtKB	P09693
DB00075	approved	DB00075	BE0000274	T-cell surface glycoprotein CD3 epsilon chain	Humans	yes	2	UniProtKB	P07766
DB00078	approved	DB00078	BE0000066	B-lymphocyte antigen CD20	Humans	yes	1	UniProtKB	P11836
DB00081	approved	DB00081	BE0000066	B-lymphocyte antigen CD20	Humans	yes	1	UniProtKB	P11836
DB00082	approved	DB00082	BE0000075	Growth hormone receptor	Humans	yes	1	UniProtKB	P10912
DB00083	approved	DB00083	BE0000390	Synaptosomal-associated protein 25	Humans	yes	NA	UniProtKB	P60880
DB00086	approved	DB00086	BE0000211	Plasminogen	Humans	yes	NA	UniProtKB	P00747
DB00087	approved	DB00087	BE0000083	CAMPATH-1 antigen	Humans	yes	1	UniProtKB	P31358
DB00089	approved	DB00089	BE0000568	Glutamate carboxypeptidase 2	Humans	yes	NA	UniProtKB	Q04609
DB00091	approved	DB00091	BE0000379	Calcium signal-modulating cyclophilin ligand	Humans	yes	1	UniProtKB	P49069
DB00091	approved	DB00091	BE0002143	Calcineurin subunit B type 2	Humans	yes	2	UniProtKB	Q96LZ3
DB00091	approved	DB00091	BE0001399	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	Humans	yes	15	UniProtKB	P30405
DB00091	approved	DB00091	BE0001014	Peptidyl-prolyl cis-trans isomerase A	Humans	yes	3	UniProtKB	P62937
DB00092	approved	DB00092	BE0000719	T-cell surface antigen CD2	Humans	yes	1	UniProtKB	P06729
DB00094	approved	DB00094	BE0000387	Follicle-stimulating hormone receptor	Humans	yes	NA	UniProtKB	P23945
DB00095	approved	DB00095	BE0009967	Integrin alpha-X	Humans	yes	1	UniProtKB	P20702
DB00095	approved	DB00095	BE0000516	Integrin alpha-L	Humans	yes	NA	UniProtKB	P20701
DB00097	approved	DB00097	BE0000134	Lutropin-choriogonadotropic hormone receptor	Humans	yes	1	UniProtKB	P22888
DB00097	approved	DB00097	BE0000387	Follicle-stimulating hormone receptor	Humans	yes	2	UniProtKB	P23945
DB00098	approved	DB00098	BE0003576	Integrin alpha-V	Humans	yes	7	UniProtKB	P06756
DB00098	approved	DB00098	BE0003573	Major histocompatibility complex class I-related gene protein	Humans	yes	1	UniProtKB	Q95460
DB00098	approved	DB00098	BE0003488	T-cell surface glycoprotein CD4	Humans	yes	5	UniProtKB	P01730
DB00098	approved	DB00098	BE0003575	Integrin beta-1	Humans	yes	6	UniProtKB	P05556
DB00098	approved	DB00098	BE0001155	Integrin beta-3	Humans	yes	8	UniProtKB	P05106
DB00098	approved	DB00098	BE0000846	T-lymphocyte activation antigen CD86	Humans	yes	3	UniProtKB	P42081
DB00098	approved	DB00098	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	Humans	yes	4	UniProtKB	P31994
DB00098	approved	DB00098	BE0000516	Integrin alpha-L	Humans	yes	2	UniProtKB	P20701
DB00099	approved	DB00099	BE0000793	Granulocyte colony-stimulating factor receptor	Humans	yes	NA	UniProtKB	Q99062
DB00100	approved	DB00100	BE0001021	Coagulation factor XI	Humans	yes	2	UniProtKB	P03951
DB00100	approved	DB00100	BE0000016	Coagulation factor VIII	Humans	yes	4	UniProtKB	P00451
DB00100	approved	DB00100	BE0000216	Coagulation factor X	Humans	yes	1	UniProtKB	P00742
DB00100	approved	DB00100	BE0000333	Coagulation factor VII	Humans	yes	3	UniProtKB	P08709
DB00102	approved	DB00102	BE0000205	Platelet-derived growth factor receptor beta	Humans	yes	1	UniProtKB	P09619
DB00105	approved	DB00105	BE0000661	Interferon alpha/beta receptor 1	Humans	yes	NA	UniProtKB	P17181
DB00105	approved	DB00105	BE0000385	Interferon alpha/beta receptor 2	Humans	yes	NA	UniProtKB	P48551
DB00106	approved	DB00106	BE0000203	Gonadotropin-releasing hormone receptor	Humans	yes	NA	UniProtKB	P30968
DB00107	approved	DB00107	BE0000844	Oxytocin receptor	Humans	yes	1	UniProtKB	P30559
DB00108	approved	DB00108	BE0000590	Integrin alpha-4	Humans	yes	1	UniProtKB	P13612
DB00112	approved	DB00112	BE0000163	Vascular endothelial growth factor A	Humans	yes	1	UniProtKB	P15692
DB00115	approved	DB00115	BE0000734	Methionine synthase	Humans	yes	1	UniProtKB	Q99707
DB00115	approved	DB00115	BE0000777	Methylmalonyl-CoA mutase, mitochondrial	Humans	yes	2	UniProtKB	P22033
DB00131	approved	DB00131	BE0004907	5'-AMP-activated protein kinase	Humans	yes	4	UniProtKB	Q13131
DB00132	approved	DB00132	BE0002246	Fatty acid desaturase 2	Humans	yes	NA	UniProtKB	O95864
DB00132	approved	DB00132	BE0001023	Transient receptor potential cation channel subfamily V member 1	Humans	yes	NA	UniProtKB	Q8NER1
DB00132	approved	DB00132	BE0000888	Fatty acid desaturase 1	Humans	yes	NA	UniProtKB	O60427
DB00136	approved	DB00136	BE0000779	Vitamin D3 receptor	Humans	yes	NA	UniProtKB	P11473
DB00140	approved	DB00140	BE0000370	Riboflavin kinase	Humans	yes	1	UniProtKB	Q969G6
DB00140	approved	DB00140	BE0000595	Flavin reductase (NADPH)	Humans	yes	4	UniProtKB	P30043
DB00146	approved	DB00146	BE0000779	Vitamin D3 receptor	Humans	yes	1	UniProtKB	P11473
DB00148	approved	DB00148	BE0000567	Guanidinoacetate N-methyltransferase	Humans	yes	6	UniProtKB	Q14353
DB00148	approved	DB00148	BE0000082	Creatine kinase B-type	Humans	yes	3	UniProtKB	P12277
DB00148	approved	DB00148	BE0000171	Creatine kinase U-type, mitochondrial	Humans	yes	2	UniProtKB	P12532
DB00148	approved	DB00148	BE0000714	Creatine kinase M-type	Humans	yes	1	UniProtKB	P06732
DB00148	approved	DB00148	BE0000375	Sodium- and chloride-dependent creatine transporter 1	Humans	yes	5	UniProtKB	P48029
DB00148	approved	DB00148	BE0000410	Creatine kinase S-type, mitochondrial	Humans	yes	4	UniProtKB	P17540
DB00152	approved	DB00152	BE0000157	Thiamin pyrophosphokinase 1	Humans	yes	NA	UniProtKB	Q9H3S4
DB00153	approved	DB00153	BE0000779	Vitamin D3 receptor	Humans	yes	NA	UniProtKB	P11473
DB00159	approved	DB00159	BE0000017	Prostaglandin G/H synthase 1	Humans	yes	2	UniProtKB	P23219
DB00159	approved	DB00159	BE0001007	Peroxisome proliferator-activated receptor delta	Humans	yes	4	UniProtKB	Q03181
DB00159	approved	DB00159	BE0000262	Prostaglandin G/H synthase 2	Humans	yes	1	UniProtKB	P35354
DB00159	approved	DB00159	BE0000215	Peroxisome proliferator-activated receptor gamma	Humans	yes	3	UniProtKB	P37231
DB00159	approved	DB00159	BE0000688	Free fatty acid receptor 1	Humans	yes	8	UniProtKB	O14842
DB00159	approved	DB00159	BE0000986	Sodium/calcium exchanger 1	Humans	yes	9	UniProtKB	P32418
DB00165	approved	DB00165	BE0000042	Pyridoxal kinase	Humans	yes	1	UniProtKB	O00764
DB00169	approved	DB00169	BE0000779	Vitamin D3 receptor	Humans	yes	1	UniProtKB	P11473
DB00170	approved	DB00170	BE0000713	Vitamin K epoxide reductase complex subunit 1	Humans	yes	2	UniProtKB	Q9BQB6
DB00170	approved	DB00170	BE0000403	Vitamin K-dependent gamma-carboxylase	Humans	yes	1	UniProtKB	P38435
DB00170	approved	DB00170	BE0002329	Vitamin K epoxide reductase complex subunit 1-like protein 1	Humans	yes	3	UniProtKB	Q8N0U8
DB00174	approved	DB00174	BE0009976	Sodium-coupled neutral amino acid transporters	Humans	yes	2	UniProtKB	Q9H2H9
DB00175	approved	DB00175	BE0000574	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Humans	yes	NA	UniProtKB	P04035
DB00176	approved	DB00176	BE0000749	Sodium-dependent serotonin transporter	Humans	yes	NA	UniProtKB	P31645
DB00177	approved	DB00177	BE0000062	Type-1 angiotensin II receptor	Humans	yes	NA	UniProtKB	P30556
DB00178	approved	DB00178	BE0000221	Angiotensin-converting enzyme	Humans	yes	NA	UniProtKB	P12821
DB00179	approved	DB00179	BE0000248	Arachidonate 5-lipoxygenase	Humans	yes	1	UniProtKB	P09917
DB00180	approved	DB00180	BE0000794	Glucocorticoid receptor	Humans	yes	1	UniProtKB	P04150
DB00181	approved	DB00181	BE0002340	Gamma-aminobutyric acid type B receptor subunit 2	Humans	yes	NA	UniProtKB	O75899
DB00182	approved	DB00182	BE0008661	vesicular monoamine transporter 2 (VMAT2)	Humans	yes	14	UniProtKB	Q99870
DB00182	approved	DB00182	BE0000647	Sodium-dependent dopamine transporter	Humans	yes	2	UniProtKB	Q01959
DB00182	approved	DB00182	BE0000867	Cocaine- and amphetamine-regulated transcript protein	Humans	yes	3	UniProtKB	Q16568
DB00182	approved	DB00182	BE0001044	Trace amine-associated receptor 1	Humans	yes	4	UniProtKB	Q96RJ0
DB00182	approved	DB00182	BE0004909	Monoamine oxidase	Humans	yes	13	UniProtKB	P21397
DB00182	approved	DB00182	BE0000118	Synaptic vesicular amine transporter	Humans	yes	1	UniProtKB	Q05940
DB00183	approved	DB00183	BE0001158	Gastrin/cholecystokinin type B receptor	Humans	yes	NA	UniProtKB	P32239
DB00184	approved	DB00184	BE0000849	Neuronal acetylcholine receptor subunit alpha-4	Humans	yes	1	UniProtKB	P43681
DB00184	approved	DB00184	BE0002341	Neuronal acetylcholine receptor subunit alpha-7	Humans	yes	2	UniProtKB	P36544
DB00184	approved	DB00184	BE0000850	Neuronal acetylcholine receptor subunit beta-2	Humans	yes	3	UniProtKB	P17787
DB00185	approved	DB00185	BE0000092	Muscarinic acetylcholine receptor M1	Humans	yes	2	UniProtKB	P11229
DB00185	approved	DB00185	BE0000045	Muscarinic acetylcholine receptor M3	Humans	yes	1	UniProtKB	P20309
DB00186	approved	DB00186	BE0008668	GABA(A) Receptor Benzodiazepine Binding Site	Humans	yes	4	UniProtKB	P14867
DB00186	approved	DB00186	BE0004797	GABA(A) Receptor	Humans	yes	1	UniProtKB	P14867
DB00187	approved	DB00187	BE0000172	Beta-1 adrenergic receptor	Humans	yes	NA	UniProtKB	P08588
DB00188	approved	DB00188	BE0002348	Proteasome subunit beta type-5	Humans	yes	6	UniProtKB	P28074
DB00188	approved	DB00188	BE0002347	Proteasome subunit beta type-1	Humans	yes	7	UniProtKB	P20618
DB00189	approved	DB00189	BE0004797	GABA(A) Receptor	Humans	yes	1	UniProtKB	P14867
DB00190	approved	DB00190	BE0002151	Aromatic-L-amino-acid decarboxylase	Humans	yes	NA	UniProtKB	P20711
DB00191	approved	DB00191	BE0000749	Sodium-dependent serotonin transporter	Humans	yes	2	UniProtKB	P31645
DB00191	approved	DB00191	BE0000486	Sodium-dependent noradrenaline transporter	Humans	yes	1	UniProtKB	P23975
DB00191	approved	DB00191	BE0003476	Pro-neuropeptide Y	Humans	yes	6	UniProtKB	P01303
DB00191	approved	DB00191	BE0002196	Amine oxidase [flavin-containing] B	Humans	yes	5	UniProtKB	P27338
DB00191	approved	DB00191	BE0000647	Sodium-dependent dopamine transporter	Humans	yes	3	UniProtKB	Q01959
DB00191	approved	DB00191	BE0002198	Amine oxidase [flavin-containing] A	Humans	yes	4	UniProtKB	P21397
DB00192	approved	DB00192	BE0000197	Sodium channel protein type 5 subunit alpha	Humans	yes	NA	UniProtKB	Q14524
DB00193	approved	DB00193	BE0004956	NMDA receptor	Humans	yes	14	UniProtKB	Q05586
DB00193	approved	DB00193	BE0000486	Sodium-dependent noradrenaline transporter	Humans	yes	2	UniProtKB	P23975
DB00193	approved	DB00193	BE0004864	Alpha-2 adrenergic receptors	Humans	yes	16	UniProtKB	P08913
DB00193	approved	DB00193	BE0002081	Sodium channel protein type 2 subunit alpha	Humans	yes	12	UniProtKB	Q99250
DB00193	approved	DB00193	BE0000013	Adenosine receptor A1	Humans	yes	15	UniProtKB	P30542
DB00193	approved	DB00193	BE0000749	Sodium-dependent serotonin transporter	Humans	yes	3	UniProtKB	P31645
DB00193	approved	DB00193	BE0000770	Mu-type opioid receptor	Humans	yes	1	UniProtKB	P35372
DB00195	approved	DB00195	BE0000172	Beta-1 adrenergic receptor	Humans	yes	NA	UniProtKB	P08588
DB00197	approved	DB00197	BE0000215	Peroxisome proliferator-activated receptor gamma	Humans	yes	NA	UniProtKB	P37231
DB00200	approved	DB00200	BE0000734	Methionine synthase	Humans	yes	1	UniProtKB	Q99707
DB00200	approved	DB00200	BE0000777	Methylmalonyl-CoA mutase, mitochondrial	Humans	yes	2	UniProtKB	P22033
DB00201	approved	DB00201	BE0000354	Adenosine receptor A3	Humans	yes	22	UniProtKB	P0DMS8
DB00201	approved	DB00201	BE0000924	Adenosine receptor A2a	Humans	yes	10	UniProtKB	P29274
DB00201	approved	DB00201	BE0009789	Phosphodiesterase enzymes	Humans	yes	23	UniProtKB	Q01064
DB00201	approved	DB00201	BE0000013	Adenosine receptor A1	Humans	yes	3	UniProtKB	P30542
DB00201	approved	DB00201	BE0000241	Adenosine receptor A2b	Humans	yes	21	UniProtKB	P29275
DB00202	approved	DB00202	BE0000411	Neuronal acetylcholine receptor subunit alpha-10	Humans	yes	1	UniProtKB	Q9GZZ6
DB00202	approved	DB00202	BE0000092	Muscarinic acetylcholine receptor M1	Humans	yes	3	UniProtKB	P11229
DB00202	approved	DB00202	BE0003438	Alpha-7 nicotinic cholinergic receptor subunit	Humans	yes	2	UniProtKB	Q693P7
DB00203	approved	DB00203	BE0000182	cGMP-specific 3',5'-cyclic phosphodiesterase	Humans	yes	NA	UniProtKB	O76074
DB00204	approved	DB00204	BE0001131	ATP-sensitive inward rectifier potassium channel 12	Humans	yes	3	UniProtKB	Q14500
DB00204	approved	DB00204	BE0000210	Potassium channel subfamily K member 2	Humans	yes	2	UniProtKB	O95069
DB00204	approved	DB00204	BE0000090	Potassium voltage-gated channel subfamily H member 2	Humans	yes	1	UniProtKB	Q12809
DB00205	approved	DB00205	BE0000330	Dihydrofolate reductase	Humans	yes	1	UniProtKB	P00374
DB00206	approved	DB00206	BE0000118	Synaptic vesicular amine transporter	Humans	yes	NA	UniProtKB	Q05940
DB00208	approved	DB00208	BE0000110	P2Y purinoceptor 12	Humans	yes	NA	UniProtKB	Q9H244
DB00210	approved	DB00210	BE0000078	Retinoic acid receptor RXR-beta	Humans	yes	3	UniProtKB	P28702
DB00210	approved	DB00210	BE0000707	Retinoic acid receptor RXR-gamma	Humans	yes	4	UniProtKB	P48443
DB00210	approved	DB00210	BE0000206	Retinoic acid receptor beta	Humans	yes	1	UniProtKB	P10826
DB00210	approved	DB00210	BE0001164	Toll-like receptor 2	Humans	yes	7	UniProtKB	O60603
DB00210	approved	DB00210	BE0001040	Transcription factor AP-1	Humans	yes	6	UniProtKB	P05412
DB00210	approved	DB00210	BE0000144	Retinoic acid receptor gamma	Humans	yes	2	UniProtKB	P13631
DB00210	approved	DB00210	BE0000412	Retinoic acid receptor RXR-alpha	Humans	yes	5	UniProtKB	P19793
DB00211	approved	DB00211	BE0000575	Alpha-1B adrenergic receptor	Humans	yes	2	UniProtKB	P35368
DB00211	approved	DB00211	BE0000501	Alpha-1A adrenergic receptor	Humans	yes	1	UniProtKB	P35348
DB00213	approved	DB00213	BE0000349	Potassium-transporting ATPase alpha chain 1	Humans	yes	NA	UniProtKB	P20648
DB00214	approved	DB00214	BE0000502	Solute carrier family 12 member 1	Humans	yes	NA	UniProtKB	Q13621
DB00214	approved	DB00214	BE0000281	Solute carrier family 12 member 2	Humans	yes	2	UniProtKB	P55011
DB00215	approved	DB00215	BE0000749	Sodium-dependent serotonin transporter	Humans	yes	1	UniProtKB	P31645
DB00216	approved	DB00216	BE0000460	5-hydroxytryptamine receptor 1F	Humans	yes	2	UniProtKB	P30939
DB00216	approved	DB00216	BE0000659	5-hydroxytryptamine receptor 1D	Humans	yes	1	UniProtKB	P28221
